"","Breed","Affectionate With Family","Good With Young Children","Good With Other Dogs","Shedding Level","Coat Grooming Frequency","Drooling Level","Coat Type","Coat Length","Openness To Strangers","Playfulness Level","Watchdog/Protective Nature","Adaptability Level","Trainability Level","Energy Level","Barking Level","Mental Stimulation Needs"
"1","Retrievers (Labrador)",5,5,5,4,2,2,"Double","Short",5,5,3,5,5,5,3,4
"2","French Bulldogs",5,5,4,3,1,3,"Smooth","Short",5,5,3,5,4,3,1,3
"3","German Shepherd Dogs",5,5,3,4,2,2,"Double","Medium",3,4,5,5,5,5,3,5
"4","Retrievers (Golden)",5,5,5,4,2,2,"Double","Medium",5,4,3,5,5,3,1,4
"5","Bulldogs",4,3,3,3,3,3,"Smooth","Short",4,4,3,3,4,3,2,3
"6","Poodles",5,5,3,1,4,1,"Curly","Long",5,5,5,4,5,4,4,5
"7","Beagles",3,5,5,3,2,1,"Smooth","Short",3,4,2,4,3,4,4,4
"8","Rottweilers",5,3,3,3,1,3,"Smooth","Short",3,4,5,4,5,3,1,5
"9","Pointers (German Shorthaired)",5,5,4,3,2,2,"Smooth","Short",4,4,4,4,5,5,3,5
"10","Dachshunds",5,3,4,2,2,2,"Smooth","Short",4,4,4,4,4,3,5,3
"11","Pembroke Welsh Corgis",5,3,4,4,2,1,"Double","Short",4,4,5,4,4,4,4,4
"12","Australian Shepherds",3,5,3,3,2,1,"Double","Medium",3,4,3,3,5,5,3,5
"13","Yorkshire Terriers",5,5,3,1,5,1,"Silky","Long",5,4,5,5,4,4,4,4
"14","Boxers",4,5,3,2,2,3,"Smooth","Short",4,4,4,3,4,4,3,4
"15","Great Danes",5,3,3,3,1,4,"Smooth","Short",3,4,5,4,3,4,3,4
"16","Siberian Huskies",5,5,5,4,2,1,"Double","Medium",5,5,1,4,3,5,5,4
"17","Cavalier King Charles Spaniels",5,5,5,2,2,2,"Wavy","Medium",4,3,3,3,4,3,3,3
"18","Doberman Pinschers",5,5,3,4,1,2,"Smooth","Short",4,4,5,4,5,5,3,4
"19","Miniature Schnauzers",5,5,3,3,4,2,"Wiry","Medium",3,4,4,5,5,3,5,4
"20","Shih Tzu",5,5,5,1,4,1,"Double","Long",3,3,3,5,4,3,3,3
"21","Boston Terriers",5,5,4,2,2,1,"Smooth","Short",5,5,3,3,4,4,2,3
"22","Bernese Mountain Dogs",5,5,5,5,3,3,"Double","Medium",4,4,3,4,4,4,3,3
"23","Pomeranians",5,3,3,2,3,1,"Double","Long",3,3,4,4,3,3,4,3
"24","Havanese",5,5,5,2,3,1,"Double","Long",5,5,3,5,4,3,4,3
"25","Cane Corso",4,3,3,2,1,3,"Smooth","Short",3,3,5,3,4,4,3,3
"26","Spaniels (English Springer)",5,3,4,3,2,3,"Double","Medium",4,4,3,4,5,4,3,4
"27","Shetland Sheepdogs",5,5,5,3,3,1,"Double","Long",2,5,5,5,5,4,5,4
"28","Brittanys",3,4,4,3,3,1,"Double","Short",3,4,3,3,5,5,3,4
"29","Pugs",5,5,4,4,2,1,"Smooth","Short",5,5,3,5,4,3,1,3
"30","Spaniels (Cocker)",4,5,5,3,4,2,"Double","Long",4,3,3,4,4,4,3,3
"31","Miniature American Shepherds",5,5,5,3,3,2,"Double","Medium",3,4,3,4,5,5,3,5
"32","Border Collies",5,3,3,3,3,1,"Double","Medium",4,5,3,5,5,5,4,5
"33","Mastiffs",5,5,3,3,1,4,"Double","Short",3,3,5,4,3,3,1,3
